"Ghana, WHOLESALE, Tamale, Maize, USD/Kg","Ghana, WHOLESALE, Kumasi, Maize, USD/Kg","Ghana, WHOLESALE, Bolgatanga, Maize, USD/Kg","Ghana, WHOLESALE, Accra, Maize, USD/Kg","Kenya, WHOLESALE, Nakuru, Maize, USD/Kg","Kenya, WHOLESALE, Eldoret, Maize, USD/Kg","Kenya, WHOLESALE, Eldoret, Maize, USD/Kg","Kenya, WHOLESALE, Nakuru, Maize, USD/tonne","Kenya, WHOLESALE, Eldoret, Maize, USD/tonne","Rwanda, WHOLESALE, Kigali, Maize, USD/tonne","Rwanda, WHOLESALE, Ruhengeri, Maize, USD/tonne","Uganda, WHOLESALE, Masindi, Maize, USD/tonne","Uganda, WHOLESALE, Lira, Maize, USD/tonne","Uganda, WHOLESALE, Kampala, Maize, USD/tonne"
0.37,0.68,0.394,0.4455,,,0.4371,,,,0.26731,0.27924,0.3256,0.3364
0.4527,0.757,0.4284,0.3584,0.438,,0.43762,,0.68436,,0.36758,0.3949,0.4277,0.43454
0.5366,0.566,0.5122,0.497,0.43762,,0.43311,0.4421,0.69455,,0.48929,0.49456,0.51563,0.52683
0.2824,0.355,0.3387,0.3145,0.43311,0.4421,0.5755,0.4527,,0.55643,0.45436,0.4654,0.48715,0.48691
0.2733,0.443,0.3264,0.2761,0.5755,0.4527,0.52241,0.51486,,0.4473,0.42959,0.4387,0.4696,0.47164
0.3431,,0.394,0.4732,0.5225,0.51486,0.5227,0.49953,,0.38658,0.39722,0.3936,0.4179,0.4486
0.355,,0.427,0.5239,0.5227,0.49953,0.54572,0.52963,,0.37343,0.41341,0.4287,0.43298,0.4674
0.426,0.6881,0.4573,0.6615,0.54572,0.52963,0.55499,0.44683,,0.35185,0.3994,0.38627,0.4213,0.43697
0.4225,0.7112,0.4685,0.6799,0.55499,0.44683,0.42959,0.34644,,0.31827,0.31867,0.31867,0.33763,0.37295
0.4211,0.6618,0.4758,0.6276,0.42959,0.34644,0.36848,0.33464,,0.3243,0.3214,0.32788,0.33329,0.3666
0.291,0.618,0.4352,0.693,0.36848,0.33464,0.3886,0.29243,,,0.26713,0.31613,0.28974,0.3355
0.3726,0.648,0.438,0.5153,0.3886,0.29243,0.341,0.343,,,0.24157,0.24785,0.26695,0.3156
0.4163,0.554,0.3899,0.4966,0.341,0.343,,0.28842,,,0.21522,0.2342,0.2345,0.24254
0.3994,0.6767,0.4418,0.5368,,0.28842,,,,,0.27747,0.2722,0.3299,0.33555
0.4415,0.6639,0.4358,0.5381,,,,0.2234,,,0.2778,0.27838,0.3934,0.31523
0.4445,0.773,0.4256,0.5455,,0.2234,,0.25872,,,0.25992,0.25987,0.29374,0.29366
0.4889,0.7417,0.4216,0.5465,,0.25872,0.27127,0.26234,,0.32147,0.2548,0.25733,0.27766,0.29612
0.5122,0.748,0.4856,0.5395,0.27127,0.26234,0.27298,0.26559,,0.3612,0.2273,0.24438,0.24958,0.2711
0.4991,0.7592,,0.5494,0.27298,0.26559,0.27388,0.2685,,,0.21131,0.21283,0.22893,0.23781
0.4215,0.74,0.399,0.5532,0.27388,0.2685,0.25747,0.25156,,0.29222,0.21643,0.21731,0.23636,0.23917
0.476,0.678,0.3811,0.5563,0.25747,0.25156,0.27952,0.2598,,0.26787,0.17238,0.16979,0.19332,0.17225
,,,0.4419,0.27952,0.2598,0.2681,0.25393,,0.22396,0.1467,0.13498,0.15367,0.14927
0.2685,0.5186,0.2592,0.4283,0.269,0.25393,0.25169,0.22952,,0.26851,0.14266,0.1422,0.152,0.2485
0.2574,0.5115,0.2596,0.3971,0.25169,0.22952,0.24914,0.2285,,0.31858,0.17588,0.1839,0.2167,0.2782
0.251,0.5187,0.2833,0.3599,0.24914,0.2285,0.24591,0.22342,,0.34851,0.149,0.15919,0.1825,0.16217
0.267,0.4465,0.321,0.3954,0.24591,0.22342,0.2437,0.22734,,0.3619,0.1733,0.1844,0.2492,0.21254
0.2353,0.3373,0.2934,0.2962,0.2437,0.22734,0.23267,0.2211,,,0.1812,0.1789,0.19293,0.18619
0.2168,0.347,0.24,0.2871,0.23267,0.222,0.26295,0.22114,,,0.16815,0.1753,0.19197,0.1892
0.2159,0.3142,0.2669,0.3119,0.26295,0.22114,0.26398,0.26641,0.3258,0.29961,0.177,0.17618,0.264,0.18933
0.2163,0.335,0.2395,0.2773,0.26398,0.26641,0.29812,0.2891,0.3377,0.27264,0.1432,0.1473,0.17362,0.15578
0.2196,0.3462,0.221,0.2966,0.29812,0.2891,0.3585,0.29742,0.27726,0.252,0.16139,0.1695,0.18956,0.21134
0.1838,0.3522,0.1918,0.314,0.3585,0.29742,0.34816,0.32789,0.24969,0.22353,0.25454,0.24554,0.24126,0.27616
0.273,0.3627,0.196,0.3117,0.34816,0.32789,0.34994,,0.2614,0.26954,0.29642,0.28818,0.3466,0.33264
0.284,0.3473,0.199,0.3129,0.34994,,0.35291,,0.28182,0.28524,0.2887,0.3394,0.3156,0.3244
,,,,0.35291,,0.3197,0.3295,0.2815,0.27638,0.23775,0.23326,0.25434,0.27868
0.211,0.3679,0.2214,0.368,0.3197,0.3295,0.3776,0.3465,0.3278,0.31196,0.22334,0.22146,0.2531,0.26976
0.225,0.3447,0.2156,0.3133,0.3776,0.3465,0.3681,0.34151,0.4486,0.37813,0.25868,0.25868,0.31,0.2853
0.1947,0.2884,0.1964,0.2866,0.3681,0.34151,0.29299,0.26486,0.48535,0.4153,0.3493,0.3153,0.33917,0.3717
0.1389,0.2899,0.1865,0.39,0.29299,0.26486,0.3348,0.33926,0.43372,0.38212,0.29146,0.28492,0.3857,0.29842
0.157,0.2979,0.1713,0.3175,0.3348,0.33926,0.29423,0.3196,0.35271,0.32498,0.26221,0.266,0.2847,0.28782
0.181,0.3537,0.1738,0.3199,0.29423,0.3196,0.32286,0.3274,0.355,0.278,0.262,0.1956,0.24617,0.24784
0.193,0.3798,0.1957,0.2675,0.32286,0.3274,0.4412,0.3534,0.36777,0.32374,0.19252,0.2224,0.23894,0.27739
0.2189,0.4116,0.1898,0.2831,0.4412,0.3534,0.3523,0.334,0.38894,0.33338,0.29241,0.29786,0.3946,0.3271
,0.3656,0.2242,0.344,0.3523,0.334,0.3533,0.38618,0.2828,0.2924,0.2987,0.29353,0.31293,0.33672
,0.3186,0.237,0.354,0.3533,0.38618,0.34747,0.32853,0.28525,0.27976,0.25611,0.29188,0.366,0.29589
,0.398,0.2423,0.3134,0.34747,0.32853,0.28794,0.25237,0.29118,0.27461,0.2991,0.2746,0.2924,0.2245
,0.2653,0.2413,0.3362,0.28794,0.25237,0.19771,0.19726,0.27541,0.2483,0.19413,0.25,0.21313,0.21962
,0.266,0.231,0.312,0.19771,0.19726,0.1823,0.197,0.26697,0.22376,0.16326,0.2144,0.22173,0.2192
,0.3548,0.2424,0.289,0.1823,0.197,0.1744,0.2419,0.27211,0.21453,0.14856,0.18796,0.1966,0.18399
,0.4492,0.2446,0.2772,0.1744,0.2419,0.17257,0.18543,0.25695,0.23729,0.13796,0.15514,0.17455,0.18681
,0.3657,0.2389,0.2765,0.17257,0.18543,0.1721,0.15143,0.24458,0.21985,0.1988,0.1545,0.1797,0.12575
,0.4516,0.2337,0.2778,0.1721,0.15143,0.14941,0.1497,0.1756,0.1875,0.932,0.16368,0.13314,0.1595
,0.4515,0.279,0.2775,0.14941,0.1497,0.15853,0.1515,0.18271,0.22173,0.9995,0.14521,0.1189,0.12276
,0.4548,0.2729,0.3334,0.15853,0.1515,0.16886,0.16737,0.23684,0.27821,0.14651,0.1743,0.11664,0.16541
,0.3134,0.2824,0.3483,0.16886,0.16737,0.22847,0.2182,0.25819,0.2586,0.18616,0.13165,0.1444,0.269
,0.3168,0.291,0.3916,0.22847,0.2182,0.22782,0.2293,0.24637,0.26786,0.18236,0.17238,0.18811,0.18964
,0.33,0.3238,0.4,0.22782,0.2293,0.2344,0.2886,0.29912,0.2572,0.18781,0.17329,0.18374,0.2123
,0.3343,0.33,0.3725,0.2344,0.2886,0.2414,0.28924,0.29145,0.22856,0.18879,0.17948,0.19215,0.2593
,0.383,0.2627,0.3733,0.2414,0.28924,0.26457,0.29153,0.33371,0.21142,0.2217,0.1898,0.18986,0.2393
,0.35,0.2554,0.3726,0.26457,0.29153,0.26588,0.28674,0.48115,0.22662,0.18139,0.19155,0.2367,0.19354
,0.295,0.2817,0.3687,0.26588,0.28674,0.25431,0.27288,0.48485,0.2882,0.17857,0.19213,0.21487,0.18923
,0.2624,0.2779,0.3393,0.25431,0.27288,0.246,0.26911,0.47412,0.29664,0.17413,0.1928,0.19789,0.21852
0.241,0.2445,0.2464,0.341,0.246,0.26911,0.26257,0.28958,0.46818,0.41582,0.21858,0.19915,0.2714,0.24743
0.25,0.2988,0.2719,0.375,0.26257,0.28958,0.2838,0.3163,0.46957,0.41758,0.24215,0.22277,0.2281,0.28928
0.227,0.2978,0.2731,0.3133,0.2838,0.3163,0.28843,0.35183,0.47248,0.37738,0.23913,0.25331,0.28397,0.26266
0.2273,0.3455,0.2679,0.3636,0.28843,0.35183,0.3439,0.36566,0.47196,0.3136,0.25623,0.24232,0.2488,0.28394
0.2335,0.389,0.2692,0.3645,0.3439,0.36566,0.32786,0.3672,0.44924,0.2788,0.43588,0.248,0.2387,0.43515
0.2212,0.4224,0.2489,0.3661,0.32786,0.3672,0.43293,0.4676,0.4728,0.38777,0.41894,0.3126,0.2879,0.47117
0.239,0.351,0.254,0.369,0.43293,0.4676,0.45789,0.44625,0.46247,0.42289,0.426,0.42249,0.45669,0.45248
0.2358,0.3656,0.2624,0.3538,0.45789,0.44625,0.4651,0.44921,0.4947,0.38638,0.3617,0.4427,0.42699,0.437
0.219,0.275,0.2571,0.3429,0.4651,0.44921,0.45263,0.37535,0.46744,0.36379,0.3535,0.4165,0.42839,0.33337
0.1786,0.279,0.2344,0.3125,0.45263,0.37535,0.34559,0.3727,0.4731,0.36433,0.2823,0.31197,0.31843,0.32146
0.184,0.2975,0.2346,0.332,0.34559,0.3727,0.34629,0.3618,0.48618,0.3883,0.26959,0.3289,0.33365,0.37234
0.1857,0.2983,0.2241,0.283,0.34629,0.3618,0.29186,0.28925,0.46617,0.42758,0.27687,0.3971,0.3433,0.3495
0.1765,0.2918,0.2353,0.2824,0.29186,0.28925,0.27255,0.28629,0.4345,0.4612,0.24414,0.29123,0.33167,0.25869
0.1485,0.1918,0.2537,0.3713,0.27255,0.28629,0.27328,0.27622,0.43783,0.38291,0.23742,0.26182,0.2972,0.25225
0.189,0.3377,0.2513,0.4523,0.27328,0.27622,0.2938,0.272,0.4731,0.34472,0.23367,0.26253,0.29624,0.23718
0.2351,0.3715,0.2519,0.4534,0.2938,0.272,0.29565,0.26861,0.39161,0.36297,0.2527,0.23957,0.2416,0.2599
0.2848,0.3987,0.2658,0.4684,0.29565,0.26861,0.28388,0.31498,0.39353,0.32795,0.25169,0.23699,0.23845,0.26857
0.2778,0.4419,0.356,0.4798,0.28388,0.31498,0.26775,0.28883,0.3761,0.2617,0.2373,0.26927,0.2813,0.24641
0.2558,0.4316,0.311,0.4859,0.26775,0.28883,0.26342,0.27729,0.35315,0.29942,0.22159,0.24853,0.2757,0.24939
0.264,0.3939,0.36,0.4948,0.26342,0.27729,0.25357,0.2712,0.3675,0.28165,0.21365,0.22571,0.2537,0.1968
0.264,0.3854,0.321,0.474,0.25357,0.2712,0.2555,0.25545,0.3838,0.2852,0.19641,0.2118,0.22911,0.25522
0.2591,0.3756,0.344,0.4566,0.2555,0.25545,0.24796,0.27441,0.4258,0.2343,0.18564,0.2365,0.21648,0.25523
0.2519,0.3589,0.2897,0.4377,0.24796,0.27441,0.24619,0.25932,0.4155,0.2989,0.24247,0.21754,0.1884,0.25154
0.2755,0.3597,0.274,0.4337,0.24619,0.25932,0.23836,0.2324,,0.3939,0.24758,0.2454,0.28374,0.22813
0.3158,0.3816,0.2763,0.4276,0.23836,0.2324,0.2422,0.23113,0.3311,0.3815,0.228,0.24848,0.26161,0.2247
0.3298,0.3826,0.2916,0.49,0.2422,0.23113,0.23955,0.2414,0.3161,0.27559,0.15651,0.2925,0.22712,0.16875
0.3799,0.3799,0.3282,0.3879,0.23955,0.2414,0.2286,0.25818,0.31537,0.27188,0.14114,0.1954,0.217,0.22981
0.429,0.4424,0.3184,0.5147,0.2286,0.25818,0.27118,0.35122,0.3291,0.29237,0.21954,0.15834,0.17837,0.24752
0.482,0.4235,0.324,0.561,0.27118,0.35122,0.29492,0.32745,0.32867,0.3523,0.23154,0.23932,0.26152,0.24257
0.4335,0.4371,0.3699,0.5347,0.29492,0.32745,0.29235,0.33947,0.32661,0.2692,0.23576,0.2619,0.26755,0.2199
0.3456,0.3283,0.2851,0.382,0.29235,0.33947,0.32877,0.2935,0.28766,0.25416,0.2423,0.26558,0.27533,0.2957
0.33,0.335,0.315,0.365,0.32877,0.2935,0.3275,0.27153,0.29653,0.22824,0.17361,0.2495,0.26819,0.14961
0.2597,0.3214,0.2727,0.3649,0.3275,0.27153,0.23484,0.276,0.2872,0.21535,0.1383,0.2699,0.2364,0.21867
0.248,0.335,0.2756,0.3583,0.23484,0.276,0.2343,0.27178,0.27328,0.22799,0.15446,0.15411,0.17317,0.28227
0.2928,0.3661,0.2928,0.3778,0.2343,0.27178,0.25318,0.25835,0.27818,0.24362,0.14167,0.14261,0.17422,0.282
0.379,0.3849,0.322,0.391,0.25318,0.25835,0.26668,0.24557,0.375,0.26416,0.15434,0.15671,0.1667,0.26198
0.3125,0.396,0.375,0.3562,0.26668,0.24557,,0.2663,0.3298,0.29453,0.1651,0.155,0.173,0.23638
0.31,0.3914,0.341,0.3534,,0.2663,0.27951,0.27733,0.3171,0.31221,0.16819,0.177,0.18932,0.27887
0.35,0.487,0.366,0.3862,0.27951,0.27733,0.29355,0.381,0.3344,0.376,0.218,0.18142,0.2194,0.2716
0.2773,0.3771,0.3188,0.3563,0.29355,0.381,,0.34335,0.34497,0.3769,0.26427,0.24415,0.2114,0.32395
0.2922,0.3896,0.2227,0.3576,,0.34335,0.36544,0.41458,0.34299,0.3642,0.3136,0.28556,0.273,0.32467
