"","Provinces","yr","sumna"
"1","pg_1",2016,0
"2","pg_1",2017,0
"3","pg_1",2018,0
"4","pg_1",2019,0
"5","pg_1",2020,1
"6","pg_1",2021,0
"7","pg_1",2022,0
"8","pg_10",2016,0
"9","pg_10",2017,0
"10","pg_10",2018,0
"11","pg_10",2019,0
"12","pg_10",2020,1
"13","pg_10",2021,0
"14","pg_10",2022,0
"15","pg_11",2016,0
"16","pg_11",2017,0
"17","pg_11",2018,0
"18","pg_11",2019,0
"19","pg_11",2020,1
"20","pg_11",2021,0
"21","pg_11",2022,0
"22","pg_12",2016,0
"23","pg_12",2017,0
"24","pg_12",2018,0
"25","pg_12",2019,0
"26","pg_12",2020,0
"27","pg_12",2021,0
"28","pg_12",2022,0
"29","pg_13",2016,0
"30","pg_13",2017,0
"31","pg_13",2018,0
"32","pg_13",2019,0
"33","pg_13",2020,0
"34","pg_13",2021,0
"35","pg_13",2022,0
"36","pg_14",2016,0
"37","pg_14",2017,0
"38","pg_14",2018,0
"39","pg_14",2019,0
"40","pg_14",2020,1
"41","pg_14",2021,0
"42","pg_14",2022,0
"43","pg_15",2016,0
"44","pg_15",2017,0
"45","pg_15",2018,0
"46","pg_15",2019,0
"47","pg_15",2020,0
"48","pg_15",2021,0
"49","pg_15",2022,0
"50","pg_16",2016,0
"51","pg_16",2017,0
"52","pg_16",2018,0
"53","pg_16",2019,0
"54","pg_16",2020,0
"55","pg_16",2021,0
"56","pg_16",2022,0
"57","pg_17",2016,0
"58","pg_17",2017,0
"59","pg_17",2018,0
"60","pg_17",2019,0
"61","pg_17",2020,2
"62","pg_17",2021,0
"63","pg_17",2022,0
"64","pg_18",2016,0
"65","pg_18",2017,0
"66","pg_18",2018,0
"67","pg_18",2019,0
"68","pg_18",2020,0
"69","pg_18",2021,0
"70","pg_18",2022,0
"71","pg_19",2016,1
"72","pg_19",2017,0
"73","pg_19",2018,0
"74","pg_19",2019,0
"75","pg_19",2020,2
"76","pg_19",2021,0
"77","pg_19",2022,0
"78","pg_2",2016,0
"79","pg_2",2017,0
"80","pg_2",2018,2
"81","pg_2",2019,0
"82","pg_2",2020,1
"83","pg_2",2021,0
"84","pg_2",2022,0
"85","pg_20",2016,6
"86","pg_20",2017,4
"87","pg_20",2018,7
"88","pg_20",2019,8
"89","pg_20",2020,25
"90","pg_20",2021,0
"91","pg_20",2022,0
"92","pg_22",2016,0
"93","pg_22",2017,0
"94","pg_22",2018,0
"95","pg_22",2019,0
"96","pg_22",2020,0
"97","pg_22",2021,0
"98","pg_22",2022,0
"99","pg_23",2016,12
"100","pg_23",2017,11
"101","pg_23",2018,7
"102","pg_23",2019,1
"103","pg_23",2020,3
"104","pg_23",2021,0
"105","pg_23",2022,0
"106","pg_24",2016,0
"107","pg_24",2017,0
"108","pg_24",2018,0
"109","pg_24",2019,0
"110","pg_24",2020,0
"111","pg_24",2021,0
"112","pg_24",2022,0
"113","pg_25",2016,0
"114","pg_25",2017,0
"115","pg_25",2018,0
"116","pg_25",2019,0
"117","pg_25",2020,0
"118","pg_25",2021,0
"119","pg_25",2022,0
"120","pg_26",2016,0
"121","pg_26",2017,0
"122","pg_26",2018,0
"123","pg_26",2019,0
"124","pg_26",2020,0
"125","pg_26",2021,0
"126","pg_26",2022,0
"127","pg_27",2016,0
"128","pg_27",2017,0
"129","pg_27",2018,1
"130","pg_27",2019,0
"131","pg_27",2020,0
"132","pg_27",2021,0
"133","pg_27",2022,0
"134","pg_28",2016,0
"135","pg_28",2017,0
"136","pg_28",2018,0
"137","pg_28",2019,0
"138","pg_28",2020,0
"139","pg_28",2021,0
"140","pg_28",2022,0
"141","pg_3",2016,0
"142","pg_3",2017,0
"143","pg_3",2018,0
"144","pg_3",2019,0
"145","pg_3",2020,0
"146","pg_3",2021,0
"147","pg_3",2022,0
"148","pg_30",2016,0
"149","pg_30",2017,0
"150","pg_30",2018,0
"151","pg_30",2019,0
"152","pg_30",2020,0
"153","pg_30",2021,0
"154","pg_30",2022,0
"155","pg_31",2016,0
"156","pg_31",2017,0
"157","pg_31",2018,2
"158","pg_31",2019,0
"159","pg_31",2020,1
"160","pg_31",2021,0
"161","pg_31",2022,0
"162","pg_4",2016,0
"163","pg_4",2017,0
"164","pg_4",2018,0
"165","pg_4",2019,0
"166","pg_4",2020,2
"167","pg_4",2021,0
"168","pg_4",2022,0
"169","pg_5",2016,0
"170","pg_5",2017,0
"171","pg_5",2018,0
"172","pg_5",2019,0
"173","pg_5",2020,0
"174","pg_5",2021,0
"175","pg_5",2022,0
"176","pg_6",2016,0
"177","pg_6",2017,0
"178","pg_6",2018,0
"179","pg_6",2019,0
"180","pg_6",2020,0
"181","pg_6",2021,0
"182","pg_6",2022,0
"183","pg_7",2016,0
"184","pg_7",2017,0
"185","pg_7",2018,0
"186","pg_7",2019,0
"187","pg_7",2020,0
"188","pg_7",2021,0
"189","pg_7",2022,0
"190","pg_8",2016,2
"191","pg_8",2017,1
"192","pg_8",2018,3
"193","pg_8",2019,0
"194","pg_8",2020,4
"195","pg_8",2021,0
"196","pg_8",2022,0
"197","pg_9",2016,4
"198","pg_9",2017,1
"199","pg_9",2018,1
"200","pg_9",2019,8
"201","pg_9",2020,14
"202","pg_9",2021,0
"203","pg_9",2022,0
