"","province","year","piglet","hog","pork"
"1","pl_1",2016,3,0,3
"2","pl_1",2017,1,0,0
"3","pl_1",2018,0,0,0
"4","pl_1",2019,0,0,0
"5","pl_1",2020,1,1,0
"6","pl_1",2021,0,0,0
"7","pl_1",2022,0,0,0
"8","pl_10",2016,0,0,0
"9","pl_10",2017,0,0,0
"10","pl_10",2018,0,0,0
"11","pl_10",2019,0,0,0
"12","pl_10",2020,1,1,0
"13","pl_10",2021,0,0,0
"14","pl_10",2022,0,0,0
"15","pl_11",2016,2,0,3
"16","pl_11",2017,0,0,2
"17","pl_11",2018,0,0,1
"18","pl_11",2019,0,0,0
"19","pl_11",2020,0,1,0
"20","pl_11",2021,0,0,0
"21","pl_11",2022,0,0,0
"22","pl_12",2016,0,0,1
"23","pl_12",2017,0,0,0
"24","pl_12",2018,0,0,0
"25","pl_12",2019,0,0,0
"26","pl_12",2020,0,0,0
"27","pl_12",2021,0,0,0
"28","pl_12",2022,0,0,0
"29","pl_13",2016,2,0,12
"30","pl_13",2017,0,0,2
"31","pl_13",2018,0,0,1
"32","pl_13",2019,0,0,0
"33","pl_13",2020,1,0,0
"34","pl_13",2021,0,0,0
"35","pl_13",2022,0,0,0
"36","pl_14",2016,2,0,5
"37","pl_14",2017,1,0,2
"38","pl_14",2018,0,0,0
"39","pl_14",2019,0,0,0
"40","pl_14",2020,1,1,1
"41","pl_14",2021,0,0,0
"42","pl_14",2022,0,0,0
"43","pl_15",2016,2,0,4
"44","pl_15",2017,0,0,2
"45","pl_15",2018,0,0,0
"46","pl_15",2019,0,0,0
"47","pl_15",2020,0,0,0
"48","pl_15",2021,0,0,0
"49","pl_15",2022,0,0,0
"50","pl_16",2016,6,0,12
"51","pl_16",2017,0,0,4
"52","pl_16",2018,0,0,2
"53","pl_16",2019,0,0,0
"54","pl_16",2020,2,0,0
"55","pl_16",2021,0,0,0
"56","pl_16",2022,0,0,0
"57","pl_17",2016,5,0,15
"58","pl_17",2017,1,0,2
"59","pl_17",2018,0,0,0
"60","pl_17",2019,0,0,0
"61","pl_17",2020,0,2,0
"62","pl_17",2021,0,0,0
"63","pl_17",2022,0,0,0
"64","pl_18",2016,3,0,9
"65","pl_18",2017,1,0,5
"66","pl_18",2018,0,0,0
"67","pl_18",2019,0,0,0
"68","pl_18",2020,0,0,0
"69","pl_18",2021,0,0,0
"70","pl_18",2022,0,0,0
"71","pl_19",2016,45,1,35
"72","pl_19",2017,32,0,7
"73","pl_19",2018,10,0,0
"74","pl_19",2019,0,0,0
"75","pl_19",2020,3,2,1
"76","pl_19",2021,4,0,0
"77","pl_19",2022,7,0,0
"78","pl_2",2016,43,0,15
"79","pl_2",2017,13,0,9
"80","pl_2",2018,4,2,2
"81","pl_2",2019,4,0,1
"82","pl_2",2020,18,1,3
"83","pl_2",2021,0,0,0
"84","pl_2",2022,0,0,0
"85","pl_20",2016,51,6,47
"86","pl_20",2017,31,4,20
"87","pl_20",2018,39,7,24
"88","pl_20",2019,19,8,4
"89","pl_20",2020,36,25,39
"90","pl_20",2021,22,0,0
"91","pl_20",2022,45,0,16
"92","pl_22",2016,0,0,1
"93","pl_22",2017,0,0,0
"94","pl_22",2018,0,0,0
